idx,x,y,elevation
213,3780.5,208.51,64.0
214,3761.93,208.9,65.0
215,3743.36,209.3,67.0
216,3724.79,209.69,63.0
217,3706.22,210.09,70.0
218,3687.65,210.49,75.0
219,3669.09,210.88,72.0
220,3650.52,211.28,73.0
221,3631.95,211.68,74.0
222,3613.38,212.07,76.0
223,3594.81,212.47,79.0
224,3576.24,212.87,85.0
225,3557.67,213.26,90.0
226,3539.1,213.66,184.0
227,3520.53,214.06,118.0
228,3501.96,214.45,184.0
229,3483.4,214.85,213.0
230,3464.83,215.25,196.0
231,3446.26,215.64,187.0
232,3427.69,216.04,198.0
233,3409.12,216.44,194.0
234,3390.55,216.83,224.0
235,3371.98,217.23,201.0
236,3353.41,217.62,197.0
237,3334.84,218.02,205.0
238,3316.28,218.42,213.0
239,3297.71,218.81,204.0
240,3279.14,219.21,197.0
241,3260.57,219.61,186.0
242,3242.0,220.0,175.0
243,3223.43,220.4,193.0
244,3204.86,220.8,238.0
245,3186.29,221.19,160.0
246,3167.72,221.59,160.0
247,3149.15,221.99,172.0
248,3130.59,222.38,184.0
249,3112.02,222.78,213.0
250,3093.45,223.18,190.0
251,3074.88,223.57,198.0
252,3056.31,223.97,189.0
253,3037.74,224.36,182.0
254,3019.17,224.76,177.0
255,3000.6,225.16,177.0
256,2982.03,225.55,178.0
257,2963.46,225.95,176.0
258,2944.9,226.35,183.0
259,2926.33,226.74,190.0
260,2907.76,227.14,195.0
261,2889.19,227.54,252.0
262,2870.62,227.93,237.0
263,2852.05,228.33,217.0
264,2833.48,228.73,232.0
265,2814.91,229.12,236.0
266,2796.34,229.52,243.0
267,2777.78,229.92,238.0
268,2759.21,230.31,253.0
269,2740.64,230.71,253.0
270,2722.07,231.11,165.0
271,2703.5,231.5,206.0
272,2684.93,231.9,236.0
273,2666.36,232.29,185.0
274,2647.79,232.69,213.0
275,2629.22,233.09,235.0
276,2610.65,233.48,205.0
277,2592.09,233.88,212.0
278,2573.52,234.28,211.0
279,2554.95,234.67,218.0
280,2536.38,235.07,232.0
281,2517.81,235.47,229.0
282,2499.24,235.86,235.0
283,2480.67,236.26,236.0
284,2462.1,236.66,240.0
285,2443.53,237.05,240.0
286,2424.97,237.45,241.0
287,2406.4,237.85,234.0
288,2387.83,238.24,253.0
289,2369.26,238.64,236.0
290,2350.69,239.04,251.0
291,2332.12,239.43,181.0
292,2313.55,239.83,179.0
293,2294.98,240.22,177.0
294,2276.41,240.62,206.0
295,2257.84,241.02,229.0
296,2239.28,241.41,220.0
297,2220.71,241.81,235.0
298,2202.14,242.21,201.0
299,2183.57,242.6,180.0
300,2165.0,243.0,201.0
