sample,t_s,reason,roughness,accepted,num_candidates,rank,x_meas,y_meas,azimuth_deg,speed_px_s,corr,score,hyp,dx,dy,dtheta,innovation,x_pred,y_pred
200,20.0,bootstrap,7.640922418791354,6,6,,,,,,,,,,,,,,
200,20.0,bootstrap_candidate,7.640922418791354,1,,0,449.1302795410156,299.37359619140625,95.0,1.3616960048675537,0.9955636858940125,0.9955636858940125,,,,,,,
200,20.0,bootstrap_candidate,7.640922418791354,1,,1,435.6004333496094,283.3995666503906,45.0,0.9616959691047668,0.9916496276855469,0.9916496276855469,,,,,,,
200,20.0,bootstrap_candidate,7.640922418791354,1,,2,443.8327331542969,289.05352783203125,70.0,1.161695957183838,0.9912673234939575,0.9912673234939575,,,,,,,
200,20.0,bootstrap_candidate,7.640922418791354,1,,3,440.94171142578125,300.3399353027344,100.0,0.9616959691047668,0.9873719811439514,0.9873719811439514,,,,,,,
200,20.0,bootstrap_candidate,7.640922418791354,1,,4,431.7288513183594,291.3830261230469,60.0,0.5616959929466248,0.985778272151947,0.985778272151947,,,,,,,
200,20.0,bootstrap_candidate,7.640922418791354,1,,5,424.6453552246094,281.9975280761719,10.0,0.7616959810256958,0.9835838079452515,0.9835838079452515,,,,,,,
250,25.0,local_candidate,8.255846754073618,1,,0,455.912841796875,299.9670104980469,,,0.9952467083930969,1.9908100530902246,0,0.0,0.0,0.0,1.7059844239774874e-05,455.9128494262701,299.9669952392587
250,25.0,local_candidate,8.255846754073618,1,,1,455.912841796875,289.9670104980469,,,0.9895800948143005,1.745144085884018,0,0.0,-10.0,0.0,9.999984741214757,455.9128494262701,299.9669952392587
250,25.0,local_candidate,8.255846754073618,1,,2,445.912841796875,299.9670104980469,,,0.9894832372665405,1.7050467705724182,0,-10.0,0.0,0.0,10.000007629406742,455.9128494262701,299.9669952392587
250,25.0,local_candidate,8.255846754073618,1,,3,455.912841796875,309.9670104980469,,,0.9750025272369385,1.6505659079551296,0,0.0,10.0,0.0,10.000015258791063,455.9128494262701,299.9669952392587
250,25.0,local_candidate,8.255846754073618,1,,4,465.912841796875,299.9670104980469,,,0.9133322834968567,1.5488961219785382,0,10.0,0.0,0.0,9.999992370616543,455.9128494262701,299.9669952392587
250,25.0,local_candidate,8.255846754073618,1,,0,439.00054931640625,279.99945068359375,,,0.9807630777359009,1.9324124896295802,1,0.0,0.0,0.0,1.078959337956634e-05,439.0005416870116,279.9994583129884
250,25.0,local_candidate,8.255846754073618,1,,1,429.00054931640625,279.99945068359375,,,0.9879518747329712,1.6996016550063526,1,-10.0,0.0,0.0,9.999992370608265,439.0005416870116,279.9994583129884
250,25.0,local_candidate,8.255846754073618,1,,2,439.00054931640625,289.99945068359375,,,0.9866281151771545,1.6582778954505362,1,0.0,10.0,0.0,9.999992370608265,439.0005416870116,279.9994583129884
250,25.0,local_candidate,8.255846754073618,1,,3,449.00054931640625,279.99945068359375,,,0.9621366858482361,1.593786160945832,1,10.0,0.0,0.0,10.000007629397555,439.0005416870116,279.9994583129884
250,25.0,local_candidate,8.255846754073618,1,,4,439.00054931640625,269.99945068359375,,,0.9317285418510437,1.5233780169486395,1,0.0,-10.0,4.0,10.000007629397555,439.0005416870116,279.9994583129884
250,25.0,local_candidate,8.255846754073618,1,,0,449.2909240722656,287.0669250488281,,,0.9898232817649841,1.9010902640620557,2,0.0,0.0,0.0,1.7059844290617217e-05,449.29091644286996,287.0669097900402
250,25.0,local_candidate,8.255846754073618,1,,1,439.2909240722656,287.0669250488281,,,0.9897353649139404,1.6610028409955784,2,-10.0,0.0,0.0,9.999992370615974,449.29091644286996,287.0669097900402
250,25.0,local_candidate,8.255846754073618,1,,2,449.2909240722656,297.0669250488281,,,0.9855480790138245,1.6168150973319655,2,0.0,10.0,0.0,10.000015258790835,449.29091644286996,287.0669097900402
250,25.0,local_candidate,8.255846754073618,1,,3,449.2909240722656,277.0669250488281,,,0.9742048382759094,1.5654724669455673,2,0.0,-10.0,0.0,9.999984741214984,449.29091644286996,287.0669097900402
250,25.0,local_candidate,8.255846754073618,1,,4,459.2909240722656,287.0669250488281,,,0.9596859812736511,1.5109531521794626,2,10.0,0.0,4.0,10.00000762940731,449.29091644286996,287.0669097900402
250,25.0,local_candidate,8.255846754073618,1,,0,445.6771545410156,301.1749267578125,,,0.987672746181488,1.8550443861285455,3,0.0,0.0,0.0,1.7059844697355547e-05,445.6771392822268,301.17491912841774
250,25.0,local_candidate,8.255846754073618,1,,1,455.6771545410156,301.1749267578125,,,0.9900062680244446,1.617377943992561,3,10.0,0.0,0.0,10.000015258791745,445.6771392822268,301.17491912841774
250,25.0,local_candidate,8.255846754073618,1,,2,445.6771545410156,291.1749267578125,,,0.9894050359725952,1.576777169704209,3,0.0,-10.0,0.0,9.999992370616884,445.6771392822268,301.17491912841774
250,25.0,local_candidate,8.255846754073618,1,,3,435.6771545410156,301.1749267578125,,,0.9855471253395081,1.532919411659178,3,-10.0,0.0,0.0,9.999984741214075,445.6771392822268,301.17491912841774
250,25.0,local_candidate,8.255846754073618,1,,4,445.6771545410156,311.1749267578125,,,0.9846975803375244,1.492069408893348,3,0.0,10.0,0.0,10.0000076294064,445.6771392822268,301.17491912841774
250,25.0,local_candidate,8.255846754073618,1,,0,434.16107177734375,289.9787902832031,,,0.9846156239509583,1.8103936803110297,4,0.0,0.0,0.0,1.0789593781510012e-05,434.16106414794865,289.97878265380837
250,25.0,local_candidate,8.255846754073618,1,,1,424.16107177734375,289.9787902832031,,,0.9857816100120544,1.5715600347518452,4,-10.0,0.0,0.0,9.99999237060781,434.16106414794865,289.97878265380837
250,25.0,local_candidate,8.255846754073618,1,,2,434.16107177734375,279.9787902832031,,,0.983582079410553,1.529360504150337,4,0.0,-10.0,0.0,9.999992370608151,434.16106414794865,289.97878265380837
250,25.0,local_candidate,8.255846754073618,1,,3,434.16107177734375,299.9787902832031,,,0.9813116192817688,1.4870897388457625,4,0.0,10.0,0.0,10.000007629397668,434.16106414794865,289.97878265380837
250,25.0,local_candidate,8.255846754073618,1,,4,444.16107177734375,289.9787902832031,,,0.979315996170044,1.4450941157340307,4,10.0,0.0,0.0,10.00000762939801,434.16106414794865,289.97878265380837
250,25.0,local_candidate,8.255846754073618,1,,0,425.30670166015625,278.2469177246094,,,0.9600948095321655,1.7436784016855156,5,0.0,0.0,0.0,1.0789595067729751e-05,425.30669403076035,278.2469100952136
250,25.0,local_candidate,8.255846754073618,1,,1,415.30670166015625,278.2469177246094,,,0.9767941236495972,1.5203780841827084,5,-10.0,0.0,0.0,9.999992370607014,425.30669403076035,278.2469100952136
