t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
0.0,98.22033866997229,61.35425667627566,18.894539643775346,96.16996970964681,18.785091754014164,-2.030752605185378
0.1,98.22037387046943,61.35425485202686,18.89454580877783,96.1699747315073,18.785097705313923,-2.0307549142655
0.2,98.2204090709761,61.35425302777367,18.894552990825254,96.1699951638816,18.78510412156533,-2.0307623851777503
0.3,98.22044427149348,61.35425120351005,18.894561820146766,96.17004032921966,18.785111298918192,-2.0307781421425477
0.4,98.22047947202323,61.35424937922714,18.89457294162419,96.17011958249725,18.785119546918068,-2.030805321628267
0.5,98.2205146725677,61.35424755491328,18.894587014807826,96.17024231119535,18.785129188506204,-2.030847072351022
0.6,98.22054987312981,61.35424573055394,18.894604713937408,96.1704179352709,18.785140560019517,-2.030906555274106
0.7,98.22058507371312,61.35424390613178,18.894626727968184,96.17065590712127,18.785154011190492,-2.0309869436073127
0.8,98.22062027432187,61.35424208162659,18.89465376060222,96.17096571153917,18.785169905147082,-2.0310914228059778
0.9,98.22065547496099,61.35424025701528,18.894686530324986,96.17135686565882,18.785188618412565,-2.0312231905695466
1.0,98.22069067563615,61.354238432271906,18.894725770447135,96.1718389188934,18.78521054090528,-2.0313854568398138
1.1,98.2207258763537,61.35423660736762,18.89477222915183,96.17242145286212,18.78523607593846,-2.031581443798762
1.2,98.22076107712083,61.35423478227068,18.89482666954726,96.17311408130729,18.785265640219816,-2.031814385865806
1.3,98.22079627794548,61.354232956946426,18.894889869724796,96.1739264500008,18.785299663851216,-2.032087529694552
1.4,98.22083147883643,61.35423113135728,18.89496262282254,96.17486823663955,18.785338590328195,-2.032404134168961
1.5,98.2208666798033,61.354229305462745,18.895045737094435,96.17594915072863,18.785382876539387,-2.0327674703987695
1.6,98.22090188085654,61.35422747921935,18.89514003598505,96.17717893345309,18.78543299276592,-2.033180821714284
1.7,98.22093708200758,61.354225652580695,18.895246358209945,96.17856735753702,18.785489422680683,-2.0336474836604177
1.8,98.22097228326867,61.3542238254974,18.895365557841732,96.18012422708887,18.785552663347456,-2.0341707639898017
1.9,98.22100748465307,61.354221997917115,18.89549850440192,96.18185937743408,18.78562322521998,-2.0347539826551486
2.0,98.22104268617498,61.3542201697845,18.895646082958557,96.18378267493352,18.78570163214088,-2.035400471800691
2.1,98.22107788784963,61.35421834104121,18.895809194229614,96.18590401678654,18.785788421340442,-2.036113575752525
2.2,98.2211130896932,61.354216511625914,18.895988754692397,96.18823333082014,18.785884143435293,-2.0368966510080666
2.3,98.221148291723,61.354214681474225,18.896185696698797,96.19078057526201,18.785989362426918,-2.0377530662243784
