sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m
0,0.0,422.0,297.0,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,355.90000248771184,1144.1,1144.0999975122882,1500.0,0.0,nan,0.0,4.242640687119285,4.242640687119285,0.0,98.22013887777779,61.35430556666666,23.652659844957725,-2.3435967771978072,23.768482568211365,95.65861705141577,422.0,297.0,98.22013887777779,61.35430556666666,0.0,0.0
1,0.1,422.1595580006035,297.0075790050287,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,357.36389758358723,1142.4,1142.6361024164128,1500.0,0.0,nan,0.0,4.263801135723851,4.242646579671703,0.0,98.22018319944462,61.35430346138749,23.652661435969584,-2.3435967771978072,23.768484151470297,95.65861667325544,422.13,297.01,98.2201749888889,61.35430278888889,0.02965698258974683,0.4445131163774719
2,0.2,422.319116001207,297.01515801005735,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,357.72548717118093,1141.7,1142.274512828819,1500.0,0.0,nan,0.0,4.3266616750099605,4.242652472215937,0.0,98.22022752111145,61.354301356108316,23.652663026981397,-2.3435967771978072,23.768485734729186,95.65861629509516,422.27,297.01,98.22021387777778,61.35430278888889,0.04938609766241616,0.7453541977684491
3,0.3,422.47867400181053,297.022737015086,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,358.9295315624106,1142.2,1141.0704684375894,1500.0,0.0,nan,0.0,4.429447411923975,4.242658364751987,0.0,98.22027184277829,61.354299250829136,23.65266461799319,-2.3435967771978072,23.76848731798805,95.65861591693488,422.4,297.02,98.2202499888889,61.35430001111111,0.07872159686177856,1.169319786507807
4,0.4,422.63823200241404,297.0303160201147,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,361.3195331330978,1137.8,1138.6804668669022,1500.0,0.0,nan,0.0,4.569465012449488,4.242664257279853,0.0,98.22031616444512,61.354297145549964,23.65266620900495,-2.3435967771978072,23.768488901246887,95.65861553877471,422.53,297.03,98.22028610000001,61.35429723333333,0.1082324637771503,1.6044465936928012
5,0.5,422.79779000301755,297.03789502514337,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,362.4546599810287,1138.0,1137.5453400189713,1500.0,0.0,nan,0.0,4.7434186643179626,4.242670149799535,0.0,98.22036048611196,61.35429504027079,23.65266780001667,-2.3435967771978072,23.768490484505687,95.6586151606146,422.67,297.03,98.22032498888889,61.35429723333333,0.12803365297154146,1.9100084553930607
6,0.6,422.95734800362106,297.04547403017204,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,362.0263978953915,1137.6,1137.9736021046085,1500.0,0.0,nan,0.0,4.9477303635101215,4.242676042311033,0.0,98.22040480777879,61.35429293499161,23.652669391028372,-2.3435967771978072,23.768492067764466,95.65861478245449,422.8,297.04,98.2203611,61.354294455555554,0.15744319372349833,2.3386400142166304
7,0.7,423.1169060042246,297.0530530352007,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,361.5504763548963,1138.4,1138.4495236451037,1500.0,0.0,nan,0.0,5.178808441620524,4.242681934814347,0.0,98.22044912944563,61.35429082971244,23.652670982040032,-2.3435967771978072,23.768493651023206,95.6586144042945,422.93,297.04,98.22039721111112,61.354294455555554,0.18736124504054952,2.7999159955299424
8,0.8,423.2764640048281,297.0606320402294,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,361.3373675766102,1138.9,1138.6626324233898,1500.0,0.0,nan,0.0,5.433238905109916,4.242687827309477,0.0,98.22049345111246,61.35428872443327,23.65267257305166,-2.3435967771978072,23.768495234281918,95.65861402613456,423.07,297.05,98.2204361,61.35429167777777,0.2067375765773935,3.078202918066222
9,0.9,423.4360220054316,297.06821104525807,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,361.0639616192934,1138.7,1138.9360383807066,1500.0,0.0,nan,0.0,5.70789988743671,4.242693719796423,0.0,98.2205377727793,61.354286619154095,23.652674164063257,-2.3435967771978072,23.768496817540594,95.65861364797468,423.2,297.06,98.22047221111112,61.3542889,0.23616479058527687,3.507960683128366
10,1.0,423.5955800060351,297.07579005028674,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,360.78606366712756,1139.2,1139.2139363328724,1500.0,0.0,nan,0.0,6.000013854150672,4.242699612275186,0.0,98.22058209444613,61.354284513874916,23.652675755074828,-2.3435967771978072,23.76849840079925,95.65861326981485,423.33,297.06,98.22050832222223,61.3542889,0.2660489904015301,3.967086123960966
11,1.1,423.7551380066386,297.0833690553154,1.5955800060351648,0.07579005028667002,1.5973790055530444,92.71950546127249,DEAD_RECKONING_NO_GPS,360.88212633039166,1139.2,1139.1178736696083,1500.0,0.0,nan,0.0,6.307156362022429,4.242705504745765,0.0,98.22062641611296,61.35428240859574,23.65267734608636,-2.3435967771978072,23.76849998405787,95.65861289165503,423.47,297.07,98.22054721111111,61.35428612222222,0.28545124709809105,4.247017623099607
