t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
0.0,98.22013887777779,61.35430556666666,23.768482568211365,95.65861705141577,23.652659844957725,-2.3435967771978072
0.1,98.22018319944462,61.35430346138749,23.768484151470297,95.65861667325544,23.652661435969584,-2.3435967771978072
0.2,98.22022752111145,61.354301356108316,23.768485734729186,95.65861629509516,23.652663026981397,-2.3435967771978072
0.3,98.22027184277829,61.354299250829136,23.76848731798805,95.65861591693488,23.65266461799319,-2.3435967771978072
0.4,98.22031616444512,61.354297145549964,23.768488901246887,95.65861553877471,23.65266620900495,-2.3435967771978072
0.5,98.22036048611196,61.35429504027079,23.768490484505687,95.6586151606146,23.65266780001667,-2.3435967771978072
0.6,98.22040480777879,61.35429293499161,23.768492067764466,95.65861478245449,23.652669391028372,-2.3435967771978072
0.7,98.22044912944563,61.35429082971244,23.768493651023206,95.6586144042945,23.652670982040032,-2.3435967771978072
0.8,98.22049345111246,61.35428872443327,23.768495234281918,95.65861402613456,23.65267257305166,-2.3435967771978072
0.9,98.2205377727793,61.354286619154095,23.768496817540594,95.65861364797468,23.652674164063257,-2.3435967771978072
1.0,98.22058209444613,61.354284513874916,23.76849840079925,95.65861326981485,23.652675755074828,-2.3435967771978072
1.1,98.22062641611296,61.35428240859574,23.76849998405787,95.65861289165503,23.65267734608636,-2.3435967771978072
1.2,98.2206707377798,61.35428030331657,23.76850156731645,95.65861251349531,23.652678937097853,-2.3435967771978072
1.3,98.22071505944663,61.35427819803739,23.768503150575015,95.65861213533566,23.652680528109332,-2.3435967771978072
1.4,98.22075938111347,61.35427609275822,23.76850473383354,95.65861175717606,23.652682119120772,-2.3435967771978072
1.5,98.2208037027803,61.35427398747905,23.768506317092033,95.65861137901652,23.652683710132173,-2.3435967771978072
1.6,98.22084802444714,61.35427188219987,23.7685079003505,95.65861100085704,23.65268530114355,-2.3435967771978072
1.7,98.22089234611397,61.354269776920695,23.768509483608934,95.65861062269761,23.652686892154893,-2.3435967771978072
1.8,98.2209366677808,61.35426767164152,23.768511066867337,95.65861024453824,23.6526884831662,-2.3435967771978072
1.9,98.22098098944764,61.35426556636234,23.76851265012571,95.65860986637892,23.65269007417748,-2.3435967771978072
2.0,98.22102531111447,61.35426346108317,23.768514233384057,95.65860948821967,23.652691665188733,-2.3435967771978072
2.1,98.22106963278131,61.354261355804,23.768515816642363,95.65860911006047,23.652693256199942,-2.3435967771978072
2.2,98.22111395444814,61.35425925052482,23.76851739990065,95.65860873190132,23.65269484721113,-2.3435967771978072
2.3,98.22115827611498,61.35425714524565,23.76851898315889,95.65860835374224,23.652696438222275,-2.3435967771978072
2.4,98.22120259778181,61.354255039966475,23.768520566417113,95.65860797558321,23.652698029233395,-2.3435967771978072
2.5,98.22124691944865,61.354252934687295,23.76852214967531,95.6586075974243,23.65269962024449,-2.3435967771978072
2.6,98.22129124111548,61.35425082940812,23.768523732933463,95.65860721926538,23.65270121125554,-2.3435967771978072
2.7,98.22133556278231,61.35424872412895,23.768525316191592,95.65860684110652,23.652702802266568,-2.3435967771978072
2.8,98.22137988444915,61.35424661884977,23.76852689944969,95.65860646294772,23.65270439327756,-2.3435967771978072
2.9,98.22142420611598,61.3542445135706,23.76852848270775,95.65860608478897,23.652705984288513,-2.3435967771978072
3.0,98.22146852778282,61.35424240829143,23.768530065965788,95.65860570663034,23.652707575299445,-2.3435967771978072
3.1,98.22151284944965,61.35424030301225,23.7685316492238,95.65860532847171,23.652709166310345,-2.3435967771978072
3.2,98.22155717111649,61.354238197733075,23.768533232481765,95.65860495031313,23.652710757321202,-2.3435967771978072
3.3,98.22160149278332,61.3542360924539,23.768534815739713,95.65860457215467,23.652712348332038,-2.3435967771978072
3.4,98.22164581445016,61.35423398717472,23.76853639899763,95.65860419399621,23.652713939342842,-2.3435967771978072
3.5,98.22169013611699,61.35423188189555,23.768537982255502,95.65860381583781,23.652715530353603,-2.3435967771978072
3.6,98.22173445778382,61.35422977661638,23.76853956551335,95.65860343767952,23.652717121364336,-2.3435967771978072
3.7,98.22177877945066,61.3542276713372,23.768541148771174,95.65860305952123,23.652718712375044,-2.3435967771978072
3.8,98.22182310111748,61.35422556605803,23.768542732028962,95.65860268136299,23.652720303385717,-2.3435967771978072
3.9,98.22186742278431,61.354223460778854,23.768544315286714,95.65860230320487,23.65272189439635,-2.3435967771978072
4.0,98.22191174445115,61.354221355499675,23.768545898544446,95.65860192504675,23.652723485406963,-2.3435967771978072
4.1,98.22195606611798,61.3542192502205,23.768547481802152,95.65860154688869,23.652725076417546,-2.3435967771978072
