$GPGGA,000000.000,,,,,,,,1144.1,M,46.9,M,,*42
$GPGGA,000000.100,,,,,,,,1142.4,M,46.9,M,,*40
$GPGGA,000000.200,,,,,,,,1141.7,M,46.9,M,,*43
$GPGGA,000000.300,,,,,,,,1142.2,M,46.9,M,,*44
$GPGGA,000000.400,,,,,,,,1137.8,M,46.9,M,,*4B
$GPGGA,000000.500,,,,,,,,1138.0,M,46.9,M,,*4D
$GPGGA,000000.600,,,,,,,,1137.6,M,46.9,M,,*47
$GPGGA,000000.700,,,,,,,,1138.4,M,46.9,M,,*4B
$GPGGA,000000.800,,,,,,,,1138.9,M,46.9,M,,*49
$GPGGA,000000.900,,,,,,,,1138.7,M,46.9,M,,*46
$GPGGA,000001.000,,,,,,,,1139.2,M,46.9,M,,*4A
$GPGGA,000001.100,,,,,,,,1139.2,M,46.9,M,,*4B
$GPGGA,000001.200,,,,,,,,1138.3,M,46.9,M,,*48
$GPGGA,000001.300,,,,,,,,1138.6,M,46.9,M,,*4C
$GPGGA,000001.400,,,,,,,,1137.9,M,46.9,M,,*4B
$GPGGA,000001.500,,,,,,,,1138.6,M,46.9,M,,*4A
$GPGGA,000001.600,,,,,,,,1138.5,M,46.9,M,,*4A
$GPGGA,000001.700,,,,,,,,1138.3,M,46.9,M,,*4D
$GPGGA,000001.800,,,,,,,,1137.9,M,46.9,M,,*47
$GPGGA,000001.900,,,,,,,,1134.8,M,46.9,M,,*44
$GPGGA,000002.000,,,,,,,,1134.5,M,46.9,M,,*43
$GPGGA,000002.100,,,,,,,,1134.2,M,46.9,M,,*45
$GPGGA,000002.200,,,,,,,,1134.0,M,46.9,M,,*44
$GPGGA,000002.300,,,,,,,,1134.4,M,46.9,M,,*41
$GPGGA,000002.400,,,,,,,,1134.6,M,46.9,M,,*44
$GPGGA,000002.500,,,,,,,,1134.7,M,46.9,M,,*44
$GPGGA,000002.600,,,,,,,,1134.8,M,46.9,M,,*48
$GPGGA,000002.700,,,,,,,,1135.9,M,46.9,M,,*49
$GPGGA,000002.800,,,,,,,,1135.0,M,46.9,M,,*4F
$GPGGA,000002.900,,,,,,,,1134.4,M,46.9,M,,*4B
$GPGGA,000003.000,,,,,,,,1133.9,M,46.9,M,,*49
$GPGGA,000003.100,,,,,,,,1134.4,M,46.9,M,,*42
$GPGGA,000003.200,,,,,,,,1135.0,M,46.9,M,,*44
$GPGGA,000003.300,,,,,,,,1134.7,M,46.9,M,,*43
$GPGGA,000003.400,,,,,,,,1134.3,M,46.9,M,,*40
$GPGGA,000003.500,,,,,,,,1133.9,M,46.9,M,,*4C
$GPGGA,000003.600,,,,,,,,1134.5,M,46.9,M,,*44
$GPGGA,000003.700,,,,,,,,1135.0,M,46.9,M,,*41
$GPGGA,000003.800,,,,,,,,1135.1,M,46.9,M,,*4F
$GPGGA,000003.900,,,,,,,,1134.5,M,46.9,M,,*4B
$GPGGA,000004.000,,,,,,,,1134.6,M,46.9,M,,*46
$GPGGA,000004.100,,,,,,,,1134.7,M,46.9,M,,*46
$GPGGA,000004.200,,,,,,,,1134.7,M,46.9,M,,*45
$GPGGA,000004.300,,,,,,,,1135.2,M,46.9,M,,*40
$GPGGA,000004.400,,,,,,,,1135.0,M,46.9,M,,*45
$GPGGA,000004.500,,,,,,,,1135.2,M,46.9,M,,*46
$GPGGA,000004.600,,,,,,,,1135.0,M,46.9,M,,*47
$GPGGA,000004.700,,,,,,,,1135.0,M,46.9,M,,*46
$GPGGA,000004.800,,,,,,,,1135.2,M,46.9,M,,*4B
$GPGGA,000004.900,,,,,,,,1131.5,M,46.9,M,,*49
$GPGGA,000005.000,,,,,,,,1131.5,M,46.9,M,,*41
$GPGGA,000005.100,,,,,,,,1131.4,M,46.9,M,,*41
$GPGGA,000005.200,,,,,,,,1131.3,M,46.9,M,,*45
$GPGGA,000005.300,,,,,,,,1131.4,M,46.9,M,,*43
$GPGGA,000005.400,,,,,,,,1132.5,M,46.9,M,,*46
$GPGGA,000005.500,,,,,,,,1131.8,M,46.9,M,,*49
$GPGGA,000005.600,,,,,,,,1132.5,M,46.9,M,,*44
$GPGGA,000005.700,,,,,,,,1114.1,M,46.9,M,,*45
$GPGGA,000005.800,,,,,,,,1131.4,M,46.9,M,,*48
$GPGGA,000005.900,,,,,,,,1131.7,M,46.9,M,,*4A
$GPGGA,000006.000,,,,,,,,1132.2,M,46.9,M,,*46
$GPGGA,000006.100,,,,,,,,1132.5,M,46.9,M,,*40
$GPGGA,000006.200,,,,,,,,1132.8,M,46.9,M,,*4E
$GPGGA,000006.300,,,,,,,,1132.3,M,46.9,M,,*44
$GPGGA,000006.400,,,,,,,,1127.9,M,46.9,M,,*4D
$GPGGA,000006.500,,,,,,,,1128.5,M,46.9,M,,*4F
$GPGGA,000006.600,,,,,,,,1128.2,M,46.9,M,,*4B
$GPGGA,000006.700,,,,,,,,1127.3,M,46.9,M,,*44
$GPGGA,000006.800,,,,,,,,1126.9,M,46.9,M,,*40
$GPGGA,000006.900,,,,,,,,1126.8,M,46.9,M,,*40
$GPGGA,000007.000,,,,,,,,1127.6,M,46.9,M,,*47
$GPGGA,000007.100,,,,,,,,1127.8,M,46.9,M,,*48
$GPGGA,000007.200,,,,,,,,1128.3,M,46.9,M,,*4F
$GPGGA,000007.300,,,,,,,,1127.9,M,46.9,M,,*4B
$GPGGA,000007.400,,,,,,,,1128.0,M,46.9,M,,*4A
$GPGGA,000007.500,,,,,,,,1128.4,M,46.9,M,,*4F
$GPGGA,000007.600,,,,,,,,1128.1,M,46.9,M,,*49
$GPGGA,000007.700,,,,,,,,1128.3,M,46.9,M,,*4A
$GPGGA,000007.800,,,,,,,,1127.8,M,46.9,M,,*41
$GPGGA,000007.900,,,,,,,,1126.4,M,46.9,M,,*4D
$GPGGA,000008.000,,,,,,,,1127.1,M,46.9,M,,*4F
$GPGGA,000008.100,,,,,,,,1126.5,M,46.9,M,,*4B
$GPGGA,000008.200,,,,,,,,1127.2,M,46.9,M,,*4E
$GPGGA,000008.300,,,,,,,,1127.0,M,46.9,M,,*4D
$GPGGA,000008.400,,,,,,,,1127.2,M,46.9,M,,*48
$GPGGA,000008.500,,,,,,,,1127.6,M,46.9,M,,*4D
$GPGGA,000008.600,,,,,,,,1127.8,M,46.9,M,,*40
$GPGGA,000008.700,,,,,,,,1128.1,M,46.9,M,,*47
$GPGGA,000008.800,,,,,,,,1127.8,M,46.9,M,,*4E
$GPGGA,000008.900,,,,,,,,1127.4,M,46.9,M,,*43
$GPGGA,000009.000,,,,,,,,1127.4,M,46.9,M,,*4B
$GPGGA,000009.100,,,,,,,,1126.5,M,46.9,M,,*4A
$GPGGA,000009.200,,,,,,,,1126.0,M,46.9,M,,*4C
$GPGGA,000009.300,,,,,,,,1125.8,M,46.9,M,,*46
$GPGGA,000009.400,,,,,,,,1121.9,M,46.9,M,,*44
$GPGGA,000009.500,,,,,,,,1122.8,M,46.9,M,,*47
$GPGGA,000009.600,,,,,,,,1122.5,M,46.9,M,,*49
$GPGGA,000009.700,,,,,,,,1122.7,M,46.9,M,,*4A
$GPGGA,000009.800,,,,,,,,1123.8,M,46.9,M,,*4B
$GPGGA,000009.900,,,,,,,,1123.5,M,46.9,M,,*47
$GPGGA,000010.000,,,,,,,,1123.9,M,46.9,M,,*4A
$GPGGA,000010.100,,,,,,,,1123.2,M,46.9,M,,*40
$GPGGA,000010.200,,,,,,,,1123.2,M,46.9,M,,*43
$GPGGA,000010.300,,,,,,,,1122.8,M,46.9,M,,*49
$GPGGA,000010.400,,,,,,,,1122.9,M,46.9,M,,*4F
$GPGGA,000010.500,,,,,,,,1123.6,M,46.9,M,,*40
$GPGGA,000010.600,,,,,,,,1122.6,M,46.9,M,,*42
$GPGGA,000010.700,,,,,,,,1123.2,M,46.9,M,,*46
$GPGGA,000010.800,,,,,,,,1123.5,M,46.9,M,,*4E
$GPGGA,000010.900,,,,,,,,1120.7,M,46.9,M,,*4E
$GPGGA,000011.000,,,,,,,,1120.0,M,46.9,M,,*41
$GPGGA,000011.100,,,,,,,,1120.4,M,46.9,M,,*44
$GPGGA,000011.200,,,,,,,,1120.4,M,46.9,M,,*47
$GPGGA,000011.300,,,,,,,,1120.8,M,46.9,M,,*4A
$GPGGA,000011.400,,,,,,,,1120.9,M,46.9,M,,*4C
$GPGGA,000011.500,,,,,,,,1121.9,M,46.9,M,,*4C
$GPGGA,000011.600,,,,,,,,1121.4,M,46.9,M,,*42
$GPGGA,000011.700,,,,,,,,1120.7,M,46.9,M,,*41
$GPGGA,000011.800,,,,,,,,1120.9,M,46.9,M,,*40
$GPGGA,000011.900,,,,,,,,1121.1,M,46.9,M,,*48
$GPGGA,000012.000,,,,,,,,1121.9,M,46.9,M,,*4A
$GPGGA,000012.100,,,,,,,,1122.1,M,46.9,M,,*40
$GPGGA,000012.200,,,,,,,,1121.9,M,46.9,M,,*48
$GPGGA,000012.300,,,,,,,,1122.4,M,46.9,M,,*47
